ANO;PAIS;CIDADE_SEDE;DATA_INICIO;DATA_ENCERRAMENTO
2000;Austrália;Sydney;2000-09-15 00:00:00;2000-10-01 00:00:00
2004;Grécia;Atenas;2004-08-13 00:00:00;2004-08-29 00:00:00
2008;China;Pequim;2008-08-08 00:00:00;2008-08-24 00:00:00
2012;Reino Unido;Londres;2012-07-27 00:00:00;2012-08-12 00:00:00
2016;Brasil;Rio de Janeiro;2016-08-05 00:00:00;2016-08-21 00:00:00
2020;Japão;Tóquio;2021-07-23 00:00:00;2021-08-08 00:00:00
2024;França;Paris;2024-07-26 00:00:00;2024-08-11 00:00:00
2028;Estados Unidos;Los Angeles;2028-07-21 00:00:00;2028-08-06 00:00:00
2032;Austrália;Brisbane;2032-07-23 00:00:00;2032-08-08 00:00:00
2036;Alemanha;Berlin;2036-07-24 00:00:00;2036-08-09 00:00:00
2040;China;Shanghai;2040-07-25 00:00:00;2040-08-10 00:00:00
