ID;NOME;TIPO;CAPACIDADE;PAIS
1;Estádio do Maracanã;ESTAGIO;78838;Brasil
2;Estádio Olímpico de Sydney;ESTAGIO;83500;Austrália
3;Estádio Nacional de Pequim;ESTAGIO;80000;China
4;Estádio Olímpico de Londres;ESTAGIO;66000;Reino Unido
5;Tokyo Dome;GINASIO;55000;Japão
6;Arena O2;GINASIO;20000;Reino Unido
7;Arena Carioca 1;GINASIO;16000;Brasil
9;Centro Aquático Nacional;PISCINA;17000;China
10;Centro Aquático Maria Lenk;PISCINA;6000;Brasil
14;Centro Nacional;ESTAGIO;17000;Brasil
11;Stade de France;ESTAGIO;81338;França
12;Los Angeles Memorial Coliseum;ESTAGIO;77500;Estados Unidos
13;Brisbane Cricket Ground;ESTAGIO;42000;Austrália
15;Shanghai Stadium;ESTAGIO;80000;China
16;Tokyo Stadium;ESTAGIO;49000;Japão
