ID;PAIS1;PAIS2;VENCEDOR;MODALIDADE;OLIMPIADA;DATA_HORA;LOCAL;PLACAR_PAIS1;PLACAR_PAIS2
1;Brasil;Estados Unidos;Brasil;1;2008;2008-08-09 10:00:00;3;9;6
2;China;Japão;China;1;2008;2008-08-09 12:00:00;3;8;5
3;Alemanha;França;Alemanha;1;2008;2008-08-09 14:00:00;3;10;9
4;Reino Unido;Rússia;Reino Unido;1;2008;2008-08-09 16:00:00;3;9;8
5;Brasil;China;Brasil;1;2008;2008-08-11 10:00:00;3;4;1
6;Alemanha;Reino Unido;Alemanha;1;2008;2008-08-11 12:00:00;3;2;1
7;Brasil;Alemanha;Brasil;1;2008;2008-08-13 15:00:00;3;9;8
8;Brasil;Alemanha;Brasil;2;2016;2016-08-06 10:00:00;1;8;4
9;Estados Unidos;China;Estados Unidos;2;2016;2016-08-06 12:00:00;1;9;8
10;Japão;França;Japão;2;2016;2016-08-06 14:00:00;1;6;3
11;Rússia;Reino Unido;Rússia;2;2016;2016-08-06 16:00:00;1;3;2
12;Austrália;Nigéria;Austrália;2;2016;2016-08-06 18:00:00;1;5;4
13;Brasil;Estados Unidos;Brasil;2;2016;2016-08-08 10:00:00;1;10;7
14;Japão;Rússia;Japão;2;2016;2016-08-08 12:00:00;1;5;4
15;Austrália;Brasil;Brasil;2;2016;2016-08-10 14:00:00;1;3;5
16;Japão;Brasil;Brasil;2;2016;2016-08-12 16:00:00;1;5;6
32;Brasil;Alemanha;Alemanha;11;2012;2012-07-28 10:00:00;4;1;2
33;Estados Unidos;China;Estados Unidos;11;2012;2012-07-28 12:00:00;4;7;6
34;Japão;França;França;11;2012;2012-07-28 14:00:00;4;7;8
35;Rússia;Reino Unido;Reino Unido;11;2012;2012-07-28 16:00:00;4;8;9
36;Austrália;Nigéria;Austrália;11;2012;2012-07-29 10:00:00;4;6;2
37;Argentina;Itália;Itália;11;2012;2012-07-29 12:00:00;4;4;6
38;Canadá;Espanha;Espanha;11;2012;2012-07-29 14:00:00;4;1;2
39;México;África do Sul;México;11;2012;2012-07-29 16:00:00;4;5;4
40;Alemanha;Estados Unidos;Estados Unidos;11;2012;2012-07-31 10:00:00;4;5;6
41;França;Reino Unido;Reino Unido;11;2012;2012-07-31 12:00:00;4;8;10
42;Austrália;Itália;Austrália;11;2012;2012-07-31 14:00:00;4;8;4
43;Espanha;México;Espanha;11;2012;2012-07-31 16:00:00;4;10;9
44;Estados Unidos;Reino Unido;Reino Unido;11;2012;2012-08-02 10:00:00;4;3;4
45;Austrália;Espanha;Espanha;11;2012;2012-08-02 12:00:00;4;9;10
46;Reino Unido;Espanha;Reino Unido;11;2012;2012-08-04 15:00:00;4;10;9
47;Brasil;Estados Unidos;Brasil;8;2008;2008-08-09 10:00:00;15;6;5
48;China;Japão;China;8;2008;2008-08-09 12:00:00;9;3;2
49;Alemanha;França;Alemanha;8;2008;2008-08-09 14:00:00;15;7;3
50;Reino Unido;Rússia;Reino Unido;8;2008;2008-08-09 16:00:00;9;9;7
51;Brasil;China;Brasil;8;2008;2008-08-11 10:00:00;15;6;1
52;Alemanha;Reino Unido;Alemanha;8;2008;2008-08-11 12:00:00;15;1;0
